RacingTeam,RaceCar,Engine,Racer
Oracle Red Bull Racing,Red Bull Racing RB19,Honda RBPTH001,"Max Verstappen , Sergio Pérez"
Scuderia Ferrari,Ferrari SF-23,Ferrari 066/10,"Charles Leclerc, Carlos Sainz Jr"
Mercedes,Mercedes-AMG F1 W14,Mercedes-AMG M14 E,"Lewis Hamilton, George Russell"
Alpine,Alpine A523,Renault E-Tech RE23,"Esteban Ocon, Pierre Gasly"
McLaren,McLaren MCL60,Mercedes-AMG M14 E,"Lando Norris, Oscar Piastri"
Aston Martin,Aston Martin AMR23,Mercedes-AMG M14 E,"Fernando Alonso, Lance Stroll"
Alfa Romeo,Alfa Romeo C43,Ferrari 066/10,"Valtteri Bottas, Guanyu Zhou"
Alpha Tauri,AlphaTauri AT04[,Honda RBPTH001,"Yuki Tsunoda, Nyck de Vries"
Haas,Haas VF-23,Ferrari 066/10,"Kevin Magnussen, Nico Hülkenberg"
Williams,Williams FW45,Mercedes-AMG M14 E,"Alex Albon, Logan Sargeant"